Timestamp,Klassenstufe:,Alter:,Geschlecht:,1. Wie oft nutzen Sie Instagram?,2. Wie viel Zeit verbringen Sie pro Tag durchschnittlich auf Instagram?,"3. Wie oft werden Sie auf Instagram mit Kontent konfrontiert, der Ihrer Meinung wiederspricht?",4. Wie oft werden Sie auf Instagram durch Kontent in Ihrer Meinung bestätigt?,"5. Haben Sie das Gefühl, dass Instagram Ihr mentales Wohlbefinden beeinflusst?","6. Wie oft haben Sie aufgrund von Inhalten auf Instagram negative Emotionen wie Angst, Frustation oder Eifersucht empfunden?","7. Wie oft haben Sie das Gefühl, dass sie auf Instagram eine verzerrte Darstellung des Lebens anderer sehen (z.B. perfekte Bilder von Reisen oder Beziehungen)?","8. Haben Sie das Gefühl, dass Instagram Ihre sozialen Interaktionen beeinflusst?","9. Wie oft haben Sie das Gefühl, dass Sie mehr zeit auf Instagram verbringen, als Sie eigentlich möchten?",10. Haben Sie schon einmal den Vergleich mit anderen auf Instagram gezogen und sich dabei schlecht oder minderwertig gefühlt?,"11. Wie oft haben Sie das Gefühl, dass Sie auf Instagram unrealistische Schönheitsideale und Körperideale sehen?","12. Wie oft haben Sie das Gefühl, dass Sie auf Instagram FOMO(Fear of Missing Out) empfinden, wenn Sie Bilder oder Stories von Freunden oder anderen Nutzern sehen?","13. Wie oft haben Sie das Gefühl, dass Sie auf Instagram Suchtverhalten entwickeln(z.B. ständiges Überprüfen von Benachtichtigungen oder Likes)?","14. Wie oft haben Sie das Gefühl, dass Sie auf Instagram Cybermobbing oder Belästigung erleben oder beobachten?","15. Inwiefern hat Instagram ihre Fähigkeit beeinflusst, neue soziale Kontakte und Freunschaften zu knüpfen?",16. Wie stark wurde Ihr Selbstbild und Ihre Identität durch Instagram beeinflusst?
07.06.2023 08:11:23,7,13,Männlich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:11:37,7,13,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verschlechtert,Nicht beeinflusst
07.06.2023 08:11:58,7,13,Weiblich,Mehrmals am Tag,15 bis 20 Minuten,selten,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Mehrmals pro Woche,"Nein, es hat keinen Einfluss",Einmal pro Monat,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:12:43,7,14,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:12:47,7,13,Männlich,Mehrmals am Tag,15 bis 20 Minuten,selten,regelmäßig,"Ja, positiv",Selten bis nie,Selten bis nie,"Ja, positiv",Selten bis nie,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verbessert,Leicht beeinflusst
07.06.2023 08:12:51,7,13,Weiblich,Mehrmals am Tag,30 Minuten bis 2 Stunden,selten,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Einmal pro Monat,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:12:51,7,13,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Signifikant verschlechtert,Nicht beeinflusst
07.06.2023 08:12:55,7,13,Männlich,Seltener als einmal pro Woche,Weniger als 15 Minuten,nie,nie,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:13:00,7,13,Weiblich,Ich nutze Instagram nicht,Weniger als 15 Minuten,nie,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Selten bis nie,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Nicht beeinflusst
07.06.2023 08:13:10,7,13,Männlich,Mehrmals am Tag,30 Minuten bis 2 Stunden,nie,selten,"Nein, es hat keinen Einfluss",Selten bis nie,Selten bis nie,"Nein, es hat keinen Einfluss",Selten bis nie,"Nein, nie",Einmal pro Monat,Selten bis nie,Selten bis nie,Selten bis nie,Leicht verbessert,Kaum beeinflusst
